Utterance	Intents
can you fly	l_MovieBot2-82b0, q_CinemaSampleKB
good morning	l_MovieBot2-82b0, q_CinemaSampleKB
how are you	l_MovieBot2-82b0, q_CinemaSampleKB
what's your age	l_MovieBot2-82b0, q_CinemaSampleKB
do you play games	l_MovieBot2-82b0, q_CinemaSampleKB
who are you	l_MovieBot2-82b0, q_CinemaSampleKB
what can you help me with	l_MovieBot2-82b0, q_CinemaSampleKB
how old are you	l_MovieBot2-82b0, q_CinemaSampleKB
what's your name	l_MovieBot2-82b0, q_CinemaSampleKB
hi	l_MovieBot2-82b0, q_CinemaSampleKB
hello	l_MovieBot2-82b0, q_CinemaSampleKB
