Utterance	Intents
good evening	l_MovieBot2-82b0, q_CinemaSampleKB
are you old	l_MovieBot2-82b0, q_CinemaSampleKB
how are you	l_MovieBot2-82b0, q_CinemaSampleKB
what's your age	l_MovieBot2-82b0, q_CinemaSampleKB
cook me something	l_MovieBot2-82b0, q_CinemaSampleKB
are you busy	l_MovieBot2-82b0, q_CinemaSampleKB
who are you	l_MovieBot2-82b0, q_CinemaSampleKB
i don't understand	l_MovieBot2-82b0, q_CinemaSampleKB
how are you today	l_MovieBot2-82b0, q_CinemaSampleKB
getting tired of you	l_MovieBot2-82b0, q_CinemaSampleKB
hi	l_MovieBot2-82b0, q_CinemaSampleKB
hello	l_MovieBot2-82b0, q_CinemaSampleKB
