Utterance	Intents
cook me something	l_BasicBotLuisApplication, q_CinemaSampleKB
getting tired of you	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you help me with	l_BasicBotLuisApplication, q_CinemaSampleKB
are you old	l_BasicBotLuisApplication, q_CinemaSampleKB
good evening	l_BasicBotLuisApplication, q_CinemaSampleKB
hello	l_BasicBotLuisApplication, q_CinemaSampleKB
who are you	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you do	l_BasicBotLuisApplication, q_CinemaSampleKB
good morning	l_BasicBotLuisApplication, q_CinemaSampleKB
are you busy	l_BasicBotLuisApplication, q_CinemaSampleKB
hiya	l_BasicBotLuisApplication, q_CinemaSampleKB
can you fly	l_BasicBotLuisApplication, q_CinemaSampleKB
