Utterance	Intents
cook me something	l_BasicBotLuisApplication, q_CinemaSampleKB
how are you today	l_BasicBotLuisApplication, q_CinemaSampleKB
good morning	l_BasicBotLuisApplication, q_CinemaSampleKB
i don't understand	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you do	l_BasicBotLuisApplication, q_CinemaSampleKB
what's your age	l_BasicBotLuisApplication, q_CinemaSampleKB
who are you	l_BasicBotLuisApplication, q_CinemaSampleKB
what's your name	l_BasicBotLuisApplication, q_CinemaSampleKB
hi	l_BasicBotLuisApplication, q_CinemaSampleKB
do you play games	l_BasicBotLuisApplication, q_CinemaSampleKB
how are you	l_BasicBotLuisApplication, q_CinemaSampleKB
getting tired of you	l_BasicBotLuisApplication, q_CinemaSampleKB
