Utterance	Intents
who are you	l_BasicBotLuisApplication, q_CinemaSampleKB
what's your age	l_BasicBotLuisApplication, q_CinemaSampleKB
are you busy	l_BasicBotLuisApplication, q_CinemaSampleKB
what's your name	l_BasicBotLuisApplication, q_CinemaSampleKB
i don't understand	l_BasicBotLuisApplication, q_CinemaSampleKB
do you play games	l_BasicBotLuisApplication, q_CinemaSampleKB
can you fly	l_BasicBotLuisApplication, q_CinemaSampleKB
hi	l_BasicBotLuisApplication, q_CinemaSampleKB
how are you	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you do	l_BasicBotLuisApplication, q_CinemaSampleKB
