Utterance	Intents
getting tired of you	l_BasicBotLuisApplication, q_CinemaSampleKB
are you busy	l_BasicBotLuisApplication, q_CinemaSampleKB
good morning	l_BasicBotLuisApplication, q_CinemaSampleKB
hi	l_BasicBotLuisApplication, q_CinemaSampleKB
hello	l_BasicBotLuisApplication, q_CinemaSampleKB
what's your age	l_BasicBotLuisApplication, q_CinemaSampleKB
do you play games	l_BasicBotLuisApplication, q_CinemaSampleKB
how are you	l_BasicBotLuisApplication, q_CinemaSampleKB
are you old	l_BasicBotLuisApplication, q_CinemaSampleKB
how are you today	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you do	l_BasicBotLuisApplication, q_CinemaSampleKB
who are you	l_BasicBotLuisApplication, q_CinemaSampleKB
how old are you	l_BasicBotLuisApplication, q_CinemaSampleKB
what's your name	l_BasicBotLuisApplication, q_CinemaSampleKB
