Utterance	Intents
what can you help me with	l_l_BasicBotLuisApplication, q_CinemaSampleKB
hello	l_l_BasicBotLuisApplication, q_CinemaSampleKB
are you busy	l_l_BasicBotLuisApplication, q_CinemaSampleKB
can you fly	l_l_BasicBotLuisApplication, q_CinemaSampleKB
good evening	l_l_BasicBotLuisApplication, q_CinemaSampleKB
good morning	l_l_BasicBotLuisApplication, q_CinemaSampleKB
who are you	l_l_BasicBotLuisApplication, q_CinemaSampleKB
how are you	l_l_BasicBotLuisApplication, q_CinemaSampleKB
what can you do	l_l_BasicBotLuisApplication, q_CinemaSampleKB
cook me something	l_l_BasicBotLuisApplication, q_CinemaSampleKB
do you play games	l_l_BasicBotLuisApplication, q_CinemaSampleKB
i don't understand	l_l_BasicBotLuisApplication, q_CinemaSampleKB
how are you today	l_l_BasicBotLuisApplication, q_CinemaSampleKB
