Utterance	Intents
cook me something	l_MovieBot2-82b0, q_CinemaSampleKB
what can you help me with	l_MovieBot2-82b0, q_CinemaSampleKB
who are you	l_MovieBot2-82b0, q_CinemaSampleKB
how are you today	l_MovieBot2-82b0, q_CinemaSampleKB
do you play games	l_MovieBot2-82b0, q_CinemaSampleKB
hi	l_MovieBot2-82b0, q_CinemaSampleKB
getting tired of you	l_MovieBot2-82b0, q_CinemaSampleKB
hello	l_MovieBot2-82b0, q_CinemaSampleKB
what's your name	l_MovieBot2-82b0, q_CinemaSampleKB
how are you	l_MovieBot2-82b0, q_CinemaSampleKB
are you old	l_MovieBot2-82b0, q_CinemaSampleKB
are you busy	l_MovieBot2-82b0, q_CinemaSampleKB
