Utterance	Intents
how are you	l_MovieBot2-82b0, q_CinemaSampleKB
getting tired of you	l_MovieBot2-82b0, q_CinemaSampleKB
who are you	l_MovieBot2-82b0, q_CinemaSampleKB
can you fly	l_MovieBot2-82b0, q_CinemaSampleKB
good morning	l_MovieBot2-82b0, q_CinemaSampleKB
hi	l_MovieBot2-82b0, q_CinemaSampleKB
i don't understand	l_MovieBot2-82b0, q_CinemaSampleKB
what can you help me with	l_MovieBot2-82b0, q_CinemaSampleKB
hiya	l_MovieBot2-82b0, q_CinemaSampleKB
good evening	l_MovieBot2-82b0, q_CinemaSampleKB
what's your name	l_MovieBot2-82b0, q_CinemaSampleKB
