Utterance	Intents
are you old	l_BasicBotLuisApplication, q_CinemaSampleKB
getting tired of you	l_BasicBotLuisApplication, q_CinemaSampleKB
good evening	l_BasicBotLuisApplication, q_CinemaSampleKB
hiya	l_BasicBotLuisApplication, q_CinemaSampleKB
how are you today	l_BasicBotLuisApplication, q_CinemaSampleKB
what's your age	l_BasicBotLuisApplication, q_CinemaSampleKB
hi	l_BasicBotLuisApplication, q_CinemaSampleKB
how are you	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you help me with	l_BasicBotLuisApplication, q_CinemaSampleKB
hello	l_BasicBotLuisApplication, q_CinemaSampleKB
