Utterance	Intents
good morning	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you help me with	l_BasicBotLuisApplication, q_CinemaSampleKB
who are you	l_BasicBotLuisApplication, q_CinemaSampleKB
are you busy	l_BasicBotLuisApplication, q_CinemaSampleKB
i don't understand	l_BasicBotLuisApplication, q_CinemaSampleKB
how are you today	l_BasicBotLuisApplication, q_CinemaSampleKB
do you play games	l_BasicBotLuisApplication, q_CinemaSampleKB
how old are you	l_BasicBotLuisApplication, q_CinemaSampleKB
good evening	l_BasicBotLuisApplication, q_CinemaSampleKB
getting tired of you	l_BasicBotLuisApplication, q_CinemaSampleKB
can you fly	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you do	l_BasicBotLuisApplication, q_CinemaSampleKB
are you old	l_BasicBotLuisApplication, q_CinemaSampleKB
