Utterance	Intents
cook me something	l_MovieBot2-82b0, q_CinemaSampleKB
good morning	l_MovieBot2-82b0, q_CinemaSampleKB
how old are you	l_MovieBot2-82b0, q_CinemaSampleKB
getting tired of you	l_MovieBot2-82b0, q_CinemaSampleKB
can you fly	l_MovieBot2-82b0, q_CinemaSampleKB
hello	l_MovieBot2-82b0, q_CinemaSampleKB
what's your age	l_MovieBot2-82b0, q_CinemaSampleKB
what's your name	l_MovieBot2-82b0, q_CinemaSampleKB
are you old	l_MovieBot2-82b0, q_CinemaSampleKB
hiya	l_MovieBot2-82b0, q_CinemaSampleKB
are you busy	l_MovieBot2-82b0, q_CinemaSampleKB
