Utterance	Intents
are you busy	l_MovieBot2-82b0, q_CinemaSampleKB
good evening	l_MovieBot2-82b0, q_CinemaSampleKB
are you old	l_MovieBot2-82b0, q_CinemaSampleKB
how are you	l_MovieBot2-82b0, q_CinemaSampleKB
can you fly	l_MovieBot2-82b0, q_CinemaSampleKB
what can you do	l_MovieBot2-82b0, q_CinemaSampleKB
good morning	l_MovieBot2-82b0, q_CinemaSampleKB
i don't understand	l_MovieBot2-82b0, q_CinemaSampleKB
how are you today	l_MovieBot2-82b0, q_CinemaSampleKB
how old are you	l_MovieBot2-82b0, q_CinemaSampleKB
who are you	l_MovieBot2-82b0, q_CinemaSampleKB
cook me something	l_MovieBot2-82b0, q_CinemaSampleKB
hi	l_MovieBot2-82b0, q_CinemaSampleKB
