Utterance	Intents
good evening	l_BasicBotLuisApplication, q_CinemaSampleKB
hiya	l_BasicBotLuisApplication, q_CinemaSampleKB
i don't understand	l_BasicBotLuisApplication, q_CinemaSampleKB
hi	l_BasicBotLuisApplication, q_CinemaSampleKB
getting tired of you	l_BasicBotLuisApplication, q_CinemaSampleKB
do you play games	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you do	l_BasicBotLuisApplication, q_CinemaSampleKB
what's your name	l_BasicBotLuisApplication, q_CinemaSampleKB
what can you help me with	l_BasicBotLuisApplication, q_CinemaSampleKB
hello	l_BasicBotLuisApplication, q_CinemaSampleKB
